congress,chamber,rollnumber,icpsr,cast_code,prob
82,Senate,8,6242,6,94.3
82,Senate,8,6293,6,92.8
82,Senate,8,6346,6,92.4
82,Senate,8,6525,6,37.6
82,Senate,8,6597,6,94.3
82,Senate,8,6796,1,62.9
82,Senate,8,6820,7,96.3
82,Senate,8,6856,6,95.6
82,Senate,8,6939,6,53.0
82,Senate,8,7020,1,17.9
82,Senate,8,7070,6,93.4
82,Senate,8,7229,6,92.3
82,Senate,8,7958,6,71.5
82,Senate,8,8138,6,80.0
82,Senate,8,8185,6,50.4
82,Senate,8,8270,2,76.5
82,Senate,8,8593,6,90.7
82,Senate,8,8635,6,51.1
82,Senate,8,8666,2,38.0
82,Senate,8,8708,6,72.4
82,Senate,8,8764,5,93.0
82,Senate,8,8883,6,85.3
82,Senate,8,9152,1,73.3
82,Senate,8,9374,6,58.8
82,Senate,8,9401,6,64.5
82,Senate,8,9604,7,52.8
82,Senate,8,9865,1,68.4
82,Senate,8,9930,1,86.8
82,Senate,8,9998,1,90.0
82,Senate,8,10110,5,51.9
82,Senate,8,10163,1,90.7
82,Senate,8,10450,1,45.4
82,Senate,8,96738,1,15.2
82,Senate,9,52,6,99.8
82,Senate,9,165,4,100.0
82,Senate,9,645,6,99.9
82,Senate,9,659,1,38.3
82,Senate,9,1021,7,99.9
82,Senate,9,1024,6,99.9
82,Senate,9,1027,4,99.8
82,Senate,9,1338,6,100.0
82,Senate,9,1341,6,100.0
82,Senate,9,1365,4,100.0
82,Senate,9,1395,7,100.0
82,Senate,9,1489,6,100.0
82,Senate,9,1510,6,100.0
82,Senate,9,1570,6,100.0
82,Senate,9,1659,6,100.0
82,Senate,9,1678,4,100.0
82,Senate,9,1831,4,100.0
82,Senate,9,1986,6,100.0
82,Senate,9,2066,6,100.0
82,Senate,9,2609,6,99.8
82,Senate,9,2691,6,20.2
82,Senate,9,2745,6,97.6
82,Senate,9,2803,6,100.0
82,Senate,9,2822,4,100.0
82,Senate,9,2838,6,100.0
82,Senate,9,2901,6,100.0
82,Senate,9,3110,6,89.5
82,Senate,9,3206,4,94.9
82,Senate,9,3349,6,100.0
82,Senate,9,3388,6,100.0
82,Senate,9,3536,4,100.0
82,Senate,9,3603,4,100.0
82,Senate,9,3783,6,99.9
82,Senate,9,4227,4,100.0
82,Senate,9,4321,6,85.1
82,Senate,9,4328,6,99.9
82,Senate,9,4382,6,100.0
82,Senate,9,4418,4,100.0
82,Senate,9,4483,6,100.0
82,Senate,9,4520,6,100.0
82,Senate,9,4728,6,99.7
82,Senate,9,4747,6,100.0
82,Senate,9,4834,1,35.7
82,Senate,9,4922,6,100.0
82,Senate,9,4949,6,100.0
82,Senate,9,4979,6,100.0
82,Senate,9,5009,6,100.0
82,Senate,9,5122,4,100.0
82,Senate,9,5158,6,100.0
82,Senate,9,5213,6,100.0
82,Senate,9,5240,6,99.8
82,Senate,9,5343,6,99.9
82,Senate,9,5452,6,100.0
82,Senate,9,5591,4,72.0
82,Senate,9,5739,6,69.2
82,Senate,9,5767,6,100.0
82,Senate,9,5913,6,100.0
82,Senate,9,5944,7,100.0
82,Senate,9,6021,6,99.7
82,Senate,9,6107,4,100.0
82,Senate,9,6132,6,100.0
82,Senate,9,6137,7,100.0
82,Senate,9,6151,6,100.0
